time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,20,7,0,0
2026-06-08 00:00:00+00:00,20,7,0,0
2026-06-09 00:00:00+00:00,33,12,0,0
2026-06-10 00:00:00+00:00,12,4,0,0
2026-06-11 00:00:00+00:00,14,5,0,0
2026-06-12 00:00:00+00:00,31,9,0,0
2026-06-13 00:00:00+00:00,21,8,0,0
2026-06-14 00:00:00+00:00,26,8,0,0
2026-06-15 00:00:00+00:00,21,7,0,0
2026-06-16 00:00:00+00:00,14,5,0,0
2026-06-17 00:00:00+00:00,15,5,0,0
2026-06-18 00:00:00+00:00,37,9,0,0
2026-06-19 00:00:00+00:00,38,9,0,0
2026-06-20 00:00:00+00:00,52,14,0,0
